,userName,content,score,at
1692,Faisal Erlangga,"unfair, i just topup to gopay for shop, the gopay amount is added, when i want to shop, it must be registered with ektp, when i want to refund to my bank account, it also ask for upgrade with ektp, this is abusing of data and force consumer to share their data with gopay, very bad experience, will be my first and last, after this dev commenting this post i sud say that it is dissapointing, the report issue menu is not there, its only for some particular problem, and cant find help for my case",1,7/2/2022 6:27
1693,Toha Lukman Hakim,"No setting to turn of marketing push notification. Do not use this app, use Grab instead. This app will send you sooo many unnecessary push notification. And there is no way to turn off only those annoying marketing push notification.",1,10/24/2020 11:36
1694,M. Fahmi,"I couldn't be honest with my impression because that would require me to throw some bad words. So I'm just going to leave some facts for you people to read before you finally decided to download this sorry app. 1. They took all of my vouchers,missions, and subscriptions privileges for NO REASON. 2. They ignored my complains, both through in app report function and their official social media. 3. I'm on the highest level of their loyalty program (Anak Sultan) and my voice doesn't matter. SAD",1,11/30/2021 14:09
1695,Igor Corvin,"Best app for taxi and delivery in Indonesia, but it's really sad, that GoPay balance couldn't be top upped with foreign bank card. Going to the Alfamart to top up the balance is always really annoying, especially if it's far from you.",4,1/3/2022 6:41
1696,Rifandy Machmud (fandymach),"I am your loyal user. But i have an issue when i try to upgrade to gopay plus. Already followed the step using my ID, but it keeps telling me the verification has failed. You have the feature, but not the service",1,10/24/2021 11:09
1697,A Google user,Multiple cancellations by drivers. Happen every single time when I make a booking causing a lot of delays and surge pricing. Emailed Gojek about the cancellation issues but nothing was done with no replies.,1,1/21/2020 1:15
1698,Ben Dobbs,Minus one star due to being harassed to sign up for gopay later only to be rejected without any reason. Also the support provided by gojek is very difficult to maneuver if you have problems that are not with a specific transaction. Otherwise a super useful app and very helpful.,4,2/15/2023 0:48
1699,Abdul Syakur,"Currently, the app randomly crashes by itself automatically and it is causing inconvenience when making booking and/or checking the details of the booking. Please assist to recitfy the problem🙏🏽",3,2/7/2023 15:25
1700,CL,"Not too bad, except I often got cancellation from drivers. App seem in favour of drivers who auto book and not consumers. I waited 15min. for a driver only to get the driver cancelling job, maybe to force me re-book at higher charges. Not reliable at all especially when you are in a rush.",3,4/20/2022 10:05
1701,Imam Syafi'i,Sorry to say UI getting more confusing and application processing speed getting slower. I have used the latest version and I also have stable internet connection.,1,4/9/2022 5:04
1702,anne sukmayani,Too much motions / animated widget presented on screen at once makes users is likely to become overwhelmed. An amazing app is almost nothing without easy navigation,3,11/12/2020 12:57
1703,Jo Koh,"Quite unreliable at times. Drivers tend to cancel after making u wait 10mins, and multiple cancellations as well. App doesn't accurately show their position as well.",3,1/12/2022 3:50
1704,P Indira,"Do NOT use Gojek. It has serious safety flaws that basically allow KIDNAPPING. My driver cancelled my trip halfway through the ride while on a highway, and even though I raised saftey issue concerns to the service team on the app immediately, they closed every ticket with just automatic chatbot replies. How can they allow ride cancellation BY THE DRIVER while on a HIGHWAY 20min from the destination?! On most rides with Gojek, I have had many very bad and unsafe drivers with terrible attitude.",1,5/6/2022 2:31
1705,Monica Desylia,"I use this application for years, and when i got problems with my gojek apps, the contact center just asking me to input the problems via apps, i goty ticket number and before the problems solved, they give me notification that my ticket number problem has been solved... I still cant order anything in my gojek apps. How poor...",2,7/3/2022 5:44
1706,Cheong Pay,"Clearly this apps Bugs are fixed but the only problem is when I checkout with gopay It took so long that I checked out at 12pm and I exit it at 5 pm also the transferring pulsa is slow that it took 2 weeks to arrive.paying with gopay isn't simple but safe.Its recommended to use this app.idk if they will fix it and when I want to give my friend gopay balance... I need gopay+ to do it thought it's easy huh, it needs out passport or e-ktp then show our face then took 24 hours to complete. How hard",2,4/3/2021 2:39
1707,yeni puspita,"really hard to cancel even though I already confirmed. the CS said the order can not be canceled, and then the app has confirmed that the order has been canceled but apparently it still can't be canceled. so annoying.",1,3/26/2021 16:58
1708,Deepa Cn,Rate is ok. But most of the time the drivers cancel after 10- 15 mins of waiting. Especially during school times this becomes a major setback and stressful.This happens lot many times. Otherwise price is ok.,4,7/1/2022 0:01
1709,A Google user,Terrible experience...the drivers keep cancelling...in 10 mins...2 drivers can cancel theirs bookings and Gojek does not look for another driver automatically..the passenger needs to find one. Worst thing is the drivers cancel lije 2 or 3 mins later...some even cancel 5 mins later. There had been incident that the driver do not even cancel...and do not let you know.....they just do not pick you up. Gojek CSO just says sorry..and that is it. No follow up action.,2,3/11/2020 0:26
1710,Dee,The app GPS system is useless. They have nonsensical pick up points that we can't amend. Makes drivers & passengers confused on where to wait. Good drivers are understanding but some drivers will scold passengers when it's not the passengers fault we can choose the correct pick up point.,3,1/15/2022 4:23
1711,Nicky Djaga,"For the last month, Gojek has a lot of location problems. - I always double check my location. - Gojek should see my location - i order food , my location changed from Bandung to Bekasi??? - try to cancel, customer service says they canceled. And then for 3 more times the order keeps going, looking for new drivers. - i lost my money, drives wasted time. Solve this Gojek",1,11/28/2020 6:05
1712,hendra dian aw,"Havent used much the latest update, but so far is ok. Previous version had some problem rendering fonts when scrolling through menu on gofood (samsung a71). Hope it was fixed.",5,5/18/2021 4:18
1713,Rai Rai,Too much promotional notifications which is quite disturbing and annoying. Maybe it's better if users can personalise notification preferences through notification settings button.,1,5/21/2020 11:07
1714,A Google user,"Hey, this app is good. But it will be nice of you can make a menu save place. So when every time we want to order go ride, go food, etc. We don't have to write the address every time :)",4,3/7/2020 5:35
1715,Feivel,"It's very easy to use and my experience with this app has been great so far and I like this app, it's very easy to find the driver and the food deliveries have been great, when I order food the food comes out great and the driver drives around safely",5,8/1/2022 13:20
1716,Re J,"Telling me to call them because there's a problem with my account. They can't tell me what it is, then tell me it's fixed, but still telling me to call...which takes a lllooonnnggg time...FRUSTRATING Still don't know if they're still looking at it...communication via app and email is terrible...I've got no idea what's going on",1,6/30/2022 7:37
1717,Joni ekopramono,"Why are you keep changing the UI every other full moon.. it's becoming more and more confusing..Now I'm still figuring out how to find the paylater payment option because you keep changing the layout, just stick with the delivery stuff.. I don't wanna know what other people activity or read news via Gojek app.",2,10/29/2020 2:18
1718,Harry Siestanto,"In big cities in Indonesia, this app is useful for booking online rides and getting food. Alas, many smaller cities and towns are still uncovered by the service.",5,6/19/2021 9:50
1719,A Google user,"It's a good app if you want to find a car in a busy area, as soon as you are in a quiet area you cannot find cars. I would suggest the company charges customers a little more to encourage more drivers in quiet areas of Bali, this will stop the over priced private drivers in Bali trying to rip off everyone.",3,2/29/2020 1:59
1720,John Doe,"I cancelled before any driver take my order as I really need to rush and I am sure it was still searching for driver when I close the app.Suddenly pop out a driver with cancellation.Then charges me $4 for cancelling.Please la I do not want $4 dollar voucher, I want my money refund back to me.",1,11/11/2022 4:44
1721,P. Lan N. H,My phone was accidentally dropped and an order was immedietly made in just like 2 secs and I couldn't cancel it! I don't think I enjoy this version and that I'm not going to use the app to order food for sure for a while!,3,1/26/2021 9:28
1722,aditya rachmadi,Always forced us to update your app..please understand that some phone have limited storage..imagine in urgent situation and you cant order transport because the app cant be use unless you updated it and your phone memory is already full.silly,1,3/8/2022 17:41
1723,Kai Yun Tan,"The supposed live tracking is a scam. Your remaining customers are people paying to save time and for more convenience. If due to traffic your driver is going to take 30min instead of 6min, you have to stop wasting your customer's time. This and late fees when the customer is just a few minutes late is ridiculous.",1,5/26/2023 8:29
1724,Brian Brooks,"Doesn't work - won't let me sign up, it keeps saying my phone number is invalid. Also, it asks for permission to make phone calls, but doesn't justify why this permission is needed. Unimpressed.",1,2/22/2023 14:53
1725,Yudha Damiat,"Saved addresses ought to be visible from all portfolio. Currently, the saved addresses are visible only in GoFood. This needs to be improved.",4,4/5/2022 5:05
1726,Wenny M,"Stability is getting worse. Everytime i wanna access gofood, it's always loading & ended up with error even tho my connection is at its best. Also, the fee is getting more & more expensive with almost no promo, compared to competitor",2,8/12/2022 7:43
1727,Yardan GG,I was trying to register my new phone number with my current email address however that email address is already registered for my old number which is already inactive since I lost the phone 3-4 years ago and I already forget the number and also I don't remember what my two last transactions with gojek were. I just wanna use the same email address for my new number but the admin could not help. Star could be changed if I could get a proper help. Thank you.,1,8/20/2021 7:11
1728,Wawan Kosasih,"Good apps, provide a lot of services. Good for ordering food and your package courier also others. Easy to use and reliable. By using it you also help the driver and please give a tip everytime you order your food.",5,6/16/2021 5:21
1729,Jeffrey Satria,Being banned for double order while actually it was because GOJEK server error. Happened to me for three times! I got tired calling cust service again and again. Now i can't order GOFOOD because server keep busy. Oh yeah i also can't add gopay as payment in android. Stupid apps and dev!,1,10/9/2020 12:43
1730,Alya Shahira Sabrina,"since the home display update on the app, it started becoming laggy and slow to access. external services are great! the app however..",2,4/11/2021 13:33
1731,A Google user,"The app's went great until I open go ride & go car suddenly ""unfortunately stop"", I don't know why. I already uninstall and back to reinstall, clean the memories, and got nothing. Please fix it.",3,1/6/2020 3:36
1732,พิพิช ราหุล,"Met a serious bug, I forgot order in basket but did not make an order, and that menu is unavailable anymore, app cannot clear the basket which have that menu, manually or automatically, what should I do? It should be a way to manually clear the basket, isn't it? And from that I cannot make new order because it cannot complete the ghost order. FIX IT ASAP!",1,2/8/2021 7:42
1733,Jojo _london,"This app is a game changer for expat! It is very convenient, help to find the right kind of food from the right resto nearby. It also help to find taxi very easily.",5,7/6/2022 11:42
1734,Putri Sheny P.S.,"When i write my address they keep showing the others address near my location and i can't choose or write my own address (even using the ""select on map""). I mean the apk should let customer to write their own address, the right one.",2,11/6/2021 12:50
1735,Ahmad Fatoni,"Have been using the app for years and I'm never late on paylater payment. But suddenly the app forced me to upgrade my limit by asking me to complete a form. In few minutes, I got rejected. In the end, I can no longer use paylater. Stupid. Better use Grab. bye",1,8/4/2023 18:26
1736,nadz hasni,"Too expensive, the shop give higher price than offline, fee platform, fee delivery. Too expensive lah. Top up fee also higher than orange platform. Nah, after I used up all my gopay I won't top up again",1,11/12/2022 4:54
1737,Willy Susanto,"Worst app ever, it could be cancelled and when you retry and or reorder, the setting of the voucher will be erased and should be undergo from the start. Ridiculously awesome. EVEN THE HELP MENU COULD NOT PROVIDE ANY SOLUTION EXCEPT CLOSED THE TICKET BEFORE GETTING ANY SOLUTION. BRAVO. CHECK THE OTHER COMMENT ABOUT HOW WONDERFUL YOUR TEAM ON HELP CENTER.",1,12/7/2022 7:58
1738,muthmainnah maricar,saved address keep redirect to other places. map and address not syncronized. aplication will charge extra when we redirect to address match to the map (the original direction). wish gojek can fix this problem soon,3,6/21/2022 0:30
1739,Luke Nguyen,The app loading speed is terribly slow. It takes almost a minute just to load the booking screen. Wouldn't recommend if you are booking on a rush.,1,8/6/2020 1:33
1740,Zera okamoto,"Lame and took a very long time to get a driver.. Driver keep cancelling the orders.. Poor services and else.. Starting to hate this app tbh.. Eventho i used the app more than years.. But i always get late everytime i use this transportation service.. Even when i look for the driver more than hours.. Driver just keep rejecting my order (gocar).. So usually, i only use the app for food orders (gofood)..",1,2/4/2023 7:30
1741,A Google user,"GO-JEK, hands down, has the worst CS possible. I got a problem where someone is using my email to register. (Yes, my email got hacked). And they never did something useful. All i receive is bot email replies. I called their CS for the 7+ times now, and the problem never got fixed. What the f?",1,2/5/2020 15:24
1742,Duc Le,"After my first terrible experience, I came back and see that the problem is not fixed. It tells me my email already has an account but lock me out from signing in. Terrible app. It asked me to register when I type my phone number, which I already registered with the previous version, but reject my email. Please make up your mind if you want my number or email.",1,7/6/2021 9:54
1743,amilea_sumthing,"The app is great, but these days when i tried to search a movie in gotix it glitches me to homepage again. So i cannot search at all, i tried restarting it and it still glitches me out.",4,4/2/2022 14:26
1744,Pk Thong,Gojek app has better navigation than another operator. I always have issue on my blk. But Gojek is able to pin the exact spot I want. Making it easier for passenger and driver to locate each other. The app is also easy to use.,5,10/27/2022 23:19
1745,David Damzen,"Driver cancel the trips several times, gojek very unreliable. I book a cab to go airport, when the driver reached very near to my house he cancelled, don't know why ? May be due to get a higher fare. This is a very unreliable behaviour, it would have caused delay for me reaching to airport and missed my flights.",1,8/21/2022 4:30
1746,Imam Ramadhan,"The update in this app makes worse. I use go-food many times, and the updates wont let you cancel the order unless you contant the cs and pay for the call. Really, its not good when u get late-response driver. Its you that suffer and not the driver. Gonna uninstall this app.",1,4/3/2021 15:32
1747,Benyamin Limanto,"TBH your UI become sucks. Many local in East Java start moving to grab because of that. Just make the UI simpler, to the point, don't force people to change the UI to extreme. Gojek Marketshare will dwindling like Firefox in no time..",1,5/12/2021 6:52
1748,QRenjo DRZ,"Well this is simply the best riding app in Indonesia. Having hundred of trips and food order and it is all either completed or solved clearly. Trying the competitor twice, and both failed (satay getting overcharged, fast food not getting rice in fasting month). Gopay is also integrated really well with my m-banking. Nice.",5,3/18/2022 4:34
1749,Linh Nguyen,"The ride was canceled on my side but the app of rider wasn't updated. Also, I did try to find a feature that can report technical issues but it doesn't have. Please consider my feedback.",1,8/7/2020 13:32
1750,Pramudya,"Usually a great experience, but then today nothing works, the driver icon does not show up on the map, driver does not respond to chats when it happened, the first driver i got even had something along the line of ""chat is currently not available"" on the chat bar.",3,11/26/2022 0:58
1751,Nick K,"Better than grab, competitive rates, promo for covid vaccination, etc. App functionalitis wise can improve more like current address accuracy which is not always correct currently, have to enter manually.",5,8/1/2021 5:48
1752,Daniel Liunando,"The menu to chat with real people from help center is hidden, and you cannot edit the tip to driver i.e. if you accidentally input the wrong amount of tip, you cannot edit it.",1,2/11/2023 11:45
1753,zerine sim,"Terribly disappointing app! Waited for driver for too long, map doesn't seem helpful at all. Called the driver and got diverted to another person. Bulk up your app.",1,9/11/2020 11:39
1754,Aribowo Karpianto,"Since 3 years ago, I have been unable to send and receive balances to fellow users due to ""suspicious transactions"". Customer service took a long time process to handle it with unclear results. Even I'm in the Go Club Sultan category, because of this, I can only give 3 stars first.... ..",3,3/17/2023 6:24
1755,Qathrunnada Maulidina,"WORST customer service ever. Tried to complain about GoPay payment, and they immediately blame the third party even though I've explained everything. They also end the complaints right after sending one response, and no longer respond to any replies after that without even caring about customer's satisfaction. ps. I don't think any human being read my email, just bots doing nothing to help with customer's satisfaction.",1,5/2/2021 0:42
1756,JH Teo,Seriously the worst platform. Average waiting is 8 to 10 minutes which is long compared to grab. I literally waited 10 minutes and the driver cancelled on me. They don't bother looking for nearer drivers and hold your money if you cancel instead of charging you only after the trip like normal apps do. Never again will I gojek. Never.,1,11/24/2021 0:05
1757,Wendy Yap,I purchased a Gopay subscription for Foodhall vouchers but when I tried to use them in Bali I was informed by Foodhall that NO Foodhall outlets in whole Bali have the machine to utilise the vouchers! I wrote to Gopay to request to cancel the subscription and give me a refund but they refused! They kept repeating that purchases made are non-refundable. (Even when it's their fault???) Gopay does not treat their customers fairly!,1,6/17/2020 11:21
1758,Anindya Laksmitara,"Please add enter nominal value for tipping! Love the new interface and thank you for listening us. Also, it would be great if there's DARK MODE for the interface.",5,3/26/2021 16:49
1759,Hiruhamishu,I regret leveling up my GoClub status. It seems the higher you go the shittier the vouchers they give you. Can't even contact a customer service person to ask if there's any problem with your account. They just give you a template answer and close the ticket.,1,10/23/2022 17:23
1760,Cayter Goh,"First time leaving bad review for mobile app, the driver picked up my order, after waiting for 10 mins, the car was not moving at all, tried calling the driver and he did not pick up, left a message to the help centre and got an auto reply saying they will monitor the driver closely without cancellation fee refund, can tell the company is desperately trying to be profitable by scamming customers via the cancellation fee now, immediately uninstalled!",1,11/30/2021 6:08
1761,CLAUDIA,"It was good at first, but everything went wrong when they changed the UI and it became the worst UX! I hate to use it ever since and it gets depressing when i had to. OMG. What are you guys aiming for?! Not simple and easy at all.",2,10/17/2020 5:44
1762,Avi Yanti,"Application ok. Food prices/sizes and transport fees are more expensive (even after disc) than other similar platform. You should try buying same meal from same resto using gofood and other app. They came in dif size/ price!, with this, they are smaller and pricier. I am not impressed.",3,3/10/2022 6:14
1763,Deasy Safari,"With the new version It's very confusing, please fix it..when the driver calls me i can't pick up the phone, the phone keeps ringing but no screen appears to click to answer the phone and sometimes i'm met rude driver",4,4/17/2023 6:45
1764,Huriyatus Tsaniyah,"I haven't received the top up balance that I did, it's been 2x 24 hours as stated by Gojek. In fact, I have made 2 transactions, the first transaction with a fairly large nominal (not entered into gopay), the second transaction with the smallest nominal (directly entered into gopay). I have proof of the transaction! Gojek is very unprofessional by consuming funds like this!!",1,6/9/2021 8:10
1765,行动,Nobody answer the hotline no at all. Every issues only converse thro email n they took super long to reply. Driver wrongly charge waiting fees can only be refund back to Gojek acct n they won't consider to refund into credit card where I had originally paid from n I scarcely use taxi since I am driving... So inflexible! Then they claimed given me the voucher into my acct n hv to use it within a month yet never credit into my account at all for 2 weeks. WORST taxi co services! Ridiculous policies,1,12/3/2022 1:56
1766,Russell Swann,"It is very slow at opening and after waiting up to a minute for it to open, it then often closes straight away. Very very annoying.",1,11/4/2020 9:33
1767,May Nukulchao,The app placed an order twice and there's no way to contact them. The app doesn't sync with photo gallery so I couldn't submit the ticket,1,6/29/2021 5:56
1768,salah aly,"I usually use grab , and when i decided to tey gojek for food for the first time i get the wrong order and i couldnt change it even after i called the gojek service number and i had to pay for somwthing i didnt evwn want when the swevice told me i cant change anything about the order, also the promocodes and the discounts are way worse than grab, i dont suggest it at all if u want an app go get grab way better service and prices",1,10/12/2020 8:24
1769,Abraham Artbityo,"Unable to find driver near the resto? I have switched to another resto, I tried to order on the next day yet the notification still says unable to find driver. I have updated the app to the latest version and have a decent network. Been struggling over this problem for about a week. come on...",2,11/12/2021 11:28
1770,Cynthia ch,"I cannot log in with my phone number, even I put my phone number on other device, or i've uninstall n then I install this app again, it's also didn't work. Why we cannot use Facebook to log in now? And there is no other option to log in except use phone number. Now this app is useless i cannot use anymore. How with my money on gopay? Please beg you to fix this or you will lost more your costumer. Realy upset.",1,1/25/2021 6:58
1771,Yogi M M P,"I often used GoMart as my option to buy some snacks and groceries. But 2 times got disappointed due to missing goods, while it printed on the grocery bills. Please, fix this kind of things. How come we buy something but we don't get as we pay for? Please Gojek check your store partners to avoid this kinda thing.",3,7/27/2021 7:04
1772,Man Khalifah,To Expensive and always late to pick up Customer And when giving a pickup they will give a driver that doing a drop off 😒 😑 and it takes me to wait a long minute for them to drop off the 1st customer..if something happens the driver not moving at all and I have to cancel and pay more..and I'm not happy 😑 😒 at all... Getting worse and worse,1,12/8/2022 0:57
1773,Mulya Muttaqin,"When discount applied it's very difficult to get a driver, even not at all. Looks like your driver is no longer interested in your ""deal"" scheme. Uninstalled",1,11/13/2021 7:37
1774,fifie ishak,"I was a regular customer of Gojek. Now i am uninstalling it because the drivers are wasting my time. They accept my request job, last minute they cancel because they know the price will be higher. Sometimes i waited 8/7mins per request just to have it cancelled by the driver and have to wait for another, who will also do the same thing.. So ya, u have lost this customer.",1,3/1/2022 23:25
1775,Emily Matias,"So disappointed with your vouchers. At first I really get the chance to use it. On the second time of using it. I was shocked !!! Upon checking out the price still the same with or without the voucher. I felt so bad. Seems like you are just fooling us with this voucher thing. And also.I checked on Grab, their price is a bit cheaper knowing that they dont use that stupid voucher thing like yours.So I end up taking Grab instead. Please dont fool us with this stupid voucher thing!!!!.",1,12/6/2020 14:13
1776,krisna roseli,"Why is so difficult to apply your promo for gofood, i already meet the promo requirements but once i pick the promo which i want to use still the promo dont show up in the payment page, really useless promo program and not easy to use compare to grab and too many confussing promo also for gofood fix it not worthy to became public listed company just for useless small matters like this",1,4/20/2023 3:52
1777,Kazenski Alexanda,"After i update the app to the latest version, i can't open it, after the gojek splash screen, the app will crash Already tried to force close, clean cache, clear data, reinstall it Still can't open it",1,9/21/2021 4:41
1778,K,"its like everyday we got new problem, now my gosend for an urgent document is gone, nothing, nada, kaput :) update: price grows higher, while service gets worse, how come i had to wait for other people's order? why freeze and lie on the time tracker? it serves nothing as customer felt actual time, driver felt actual time, and on paper time purchase-time received are all tracked",1,4/25/2023 13:23
1779,Ki chung I,"Good app,very cheap and fast delivery. But it can't see the drivers' details in multiple orders , it only shows 2 ongoing drivers were coming.",4,10/8/2022 9:38
1780,Review Honest,"So slow. So laggy. Like what happened? Why this app is getting worse?. Not only that the promo code or discount so unreliable. The peak hours price for the rides is beyond ridiculous. That if you could get a driver. Too bad, i dont think this app will survive another year with all these problems.",1,2/1/2022 11:38
1781,Anita B,"The app is annoying if you want to do other things like check your ride history etc. Customer service is also terrible, don't expect any resolution if you are over charged or charged by mistake. Recommend to always pay by cash if using this app.",1,8/30/2021 11:58
1782,Setho Kumoro (Stiffmathers),"Please add the ""Block Driver"" menu so that if there are customers who have bad experiences with 1 driver in the next order, they will not meet or get the same driver. ""Star"" doesn't affect the trauma of having a bad experience with the driver if you meet again on the next order.",3,4/21/2022 0:37
1784,Justin Ow,"App kept opening on its own even after i force closed the app, seemingly tracking my location though that is an requirement for the use of the app is abit suspicious given that it keeps opening on its own without any prompting or opening the app.",2,8/20/2020 3:35
1785,Selamat Tampubolon,"i had bad experience because i couldn't cancel my order on gofood, when the driver the one asked to be cancelled. i cancel, then you resume my order to new driver, hey, you should just cancel it. don't want it anymore, people need to eat so we order from other phone. your system so selfish.",1,1/30/2022 13:41
1786,Dicky Mahardika,"This new UI sucks, and this app taking somany disk space updating like crazy, confusing just make it simple like the old version. Modern-ish but confusing (make it below 200mb if you can and make it simple)",2,8/25/2022 12:30
1787,Jem Kiff,"Promotion on app is different on the field. Once complaint, CS gives no resolution at all, always the costumer fault. Plus your services becoming more & more expensive especially with Tokped. Btw my gopay later has been blocked for months without valid reason while i have no dept nor obligation to pay.",1,12/6/2022 12:50
1788,Tanto Este,"It's a good and useful app. Thanks. However improvement can be made in one particular area: GOCAR. It would be nice if there is information about the COLOR of the car, not only type and reg number. It will be very helpful for recognizing the gocar ordered among other vehicles in a lobby que. Thanks",5,9/8/2020 1:19
1789,Safrain Salim,not a friendly apps. it charge directly you credit card even the payment type still cash and you need to pay twice. and also the extra payment like toll cannot be paid by credit card even you paid by credit card. need to pay the toll by cash or other payment method separately.,2,7/31/2022 17:05
1790,Norit,"I've been sending refund request (GET PAY) emails since September to the support center (in Thailand) but they never replied to me yet. Also I've asking them that I can't sign in with my previous information registered with GET, but nobody replied to me yet. I don't know what's going on about Gojek Thailand.",1,11/4/2020 16:02
1791,Winda Wijaya,"I have been using this account for years, but I cannot get any discount on GoFood, cannot apply any vouchers, cannot even subscribe for GoFoodPlus and GoPayLater. Asked for help but the reply stays the same: there is no problem with the account. Even if I reapply with a new account, I won't be able to upgrade to gopayplus and use gopaylater.",1,7/24/2022 21:50
1792,Adnan M Masnan,"So far so good. But the GPS need serious upgrades. If the driver follows GPS solely, it will show the longer way to our desired destination. Other than that, 4 ***",4,5/23/2021 10:43
1793,Dipa Prawira Prihatno,Always have bad experience on go food. The orders always cancel by the system with reason there are no drivers near resto. My balance got stuck which it should be able to use for something else,2,5/20/2022 1:52
1794,Alken Lay,"I accidentally create an order and tried to cancel it, then i tried to report the issue and make a ticket for it but without any second it just instantly close the case and i'm forced to pay.",1,8/27/2022 12:26
1795,marj merv,"Driver didnt even try to give a call to check whether I am boarding his car or asking whether I coming to his pick-up location,I wanted to message or call but I was in a lift with reception not really good.when I reach ground floor,he cancel my trip and your app ask me to pay fine of $4???? Is this the right way the driver is handling my trip?",1,8/27/2022 22:00
1796,Dikki Kartajaya,"Good app, nice feature but on gopay so many error there, i just lost my balance when doing payment but the balance does not go to recipient, and my gojek account is costumer service priority but when i contact the costumer service they reply me using bot that is incredible :)",2,7/16/2022 10:49
1797,A Google user,"Today suddenly this apps inactive in my phone. I don t know why it can be happen.Then I try to fix it by uninstall the app. When I want to install again, it is always pending and I couldn t able to install again from my mobile phone.",4,3/17/2020 11:59
1798,Pham Truong Giang,"plenty of car, easy to catch one than other apps. Prices are acceptable as well. But in the rush hours we should compare price with traditional taxi before booking",5,10/2/2022 14:18
1799,Rifan Ventura Bangun,"The help ticket is useless, my problem about the order hasn't solved yes. Seriously i could stop using gojek if they keep it like this. My account status is anak sultan, my help status level is proritized but still not solved, not even a single answer from the gojek agent, only bots. Seriously dissapointed, even the prioritozed service is really useless. What a shame.",1,10/24/2022 10:55
1800,Fulton Fortner,"Steer clear of this app outside major cities. The drivers in places like Bali prefer to take the weekend off, even if they are supposedly cash strapped from covid. Much better to talk to the Facebook groups and hire out a driver for the time you're there.",2,12/20/2020 10:57
1801,Moses Siregar,"This app is good @ beginning, used it of often to buy food and sometime for transportation until, i cant log in suddently, and need to confirm cell number, it said to send an OTP that never came, and when i tried to log back in it said (too many attemp) your request is blocked due too many attemps. And theres no wherr i can go to report or ask support from. at least give me some solution.",1,11/26/2020 1:52
1802,Taufan,"I'm half on my way to be Anak Sultan, but it's difficult for me to get a Gocar. Either drivers cancel it or it's very far away from my location. While my spouse make an order with different platform, we got the ride in seconds, even though she's not really using the service (nowhere near Juragan if it's on Gojek). Really disappointed.",1,4/30/2023 13:24
1803,Elin Isaksson,"NEVER estimates the correct route but one MUCH longer. Applicable for both food delivery and rides!!! This also increases the pricing and ruins the estimated time. Won't let me rate restaurant, just said ""server busy"" despite me trying every hour of the day/night for DAYS.",2,3/11/2021 5:28
1804,Valerie Quek,Earlier I was just checking how much my fare to an old destination. I was shocked to $20+& a driver was assigned. I didnt booked the car. On monday 7th Nov I tried to book from Chinatown point at 3pm to home was $18.40. I didnt take it as It was crazy fare. Then today at 10am I tried booking to Waterloo street it was $18.40 again. Few minutes it was $20+. I decided to use Gojek anymore. Will try to leave home early and will take taxi from now on. I couldnt check when I bought Promo vouchers,5,11/10/2022 11:33
1805,Shern Tan,"There is no hotline number for me to call in. Moreover I have been senting a few times to your help desk support and yet no reply at reasonable answer. Grab don't have any this kind of issue at all. There are so many competitive right now, I think your company did not try your best to handle any issues and never put in effort to provide.",1,11/8/2020 11:39
1806,Roberto Gondrong,"Did you change your number? No I didn't change my number!!! I'm using a dual sim handphone!!! This app is from the last century! Gojek there is something called dual sim, it keeps changing! Every single time I use the app I have to verify my number so annoying better move to grab...",1,11/13/2021 10:16
1807,Shella Ps,"suddenly i cant access promo and there is pop up said ""server busy"". The cs said that i harm gojek's policy but not inform me what is that policy. I always use this app even you're not give me gofood promo anymore and my saldo still there. But this trouble make me dissapointed. Because you dont give me solutions about my problem. The CS just tell me to loggin with another device, and that is not the solution for me.",1,8/30/2022 9:54
1808,Fahim Rafa,"This app offers plenty of promos but only a FEW of them works. I literally just got scammed by this app twice. It offers cashback and it shows that the promo applied but in the end i got NO CASHBACK. Even the support cancel one sidely my report twice. What a shame for you calling ""aplikasi anak bangsa""",1,12/18/2020 8:24
1809,bang pul,Good alternative for ordering food & beverages since the pandemic. But the maps need improvement. My location are not accurate. There are deviation 50m between my exact location and pinned location,5,10/3/2021 8:49
1810,jappy jap,intentionaly confusing ui so you give up if you have any issue. i was charged 4x because the order didnt get trough and i cant contact them for support. this is the last straw for me and i'll be stopping using their service.,1,3/1/2023 1:18
1811,Seng Fatt Tong,"Its the worst kind of unfriendly private transport Apps. My destination is Circuit Road and for your driver to pick me up @Marina Bay Sand, Tower 1. Yet, I am accused of booking the trip as Circuit Road as my pickup point instead of @Marina Bay Sands, Tower 1 and charged me a cancellation fee of $4 to be paid before the next trip. Someone in your computer IT department have even deliberately programmed the software apps to not allow for editing. Gojek owner, ""do not cheat your customers"".",1,3/23/2022 17:54
1812,MrDone That,"Good apps. It's my 2nd option to go to if I need a ride..i booked gojek and half way thru waiting,i need to call ambulance. But the driver has arrived and put it""no show"". Told gojek about it,and they gave me $6 voucher.and i still need to pay the 'fine' in cash or credit..but the main thing is,they solve the issue immediately..Good job!! Recommended!",5,10/27/2021 13:58
1813,Shakila Putri,"ordered gosend 2 times, the pickup address was my house but the pickup point was 3-5 km far from my house, the drivers complained. so i need to find my house through maps so the pickup point can be precise. cant you fix your in app maps?",2,3/19/2022 2:01
